game_date,game_opponent,game_time
23-Feb,Chicago (AL),1:05 PM
24-Feb,San Francisco,1:05 PM
24-Feb,Kansas City,1:05 PM
25-Feb,Mariners,1:10 PM
26-Feb,Texes,1:05 PM
27-Feb,Texas,1:05 PM
28-Feb,San Diego,1:10 PM
1-Mar,Cleveland,1:05 PM
2-Mar,Chicago (AL),1:05 PM
3-Mar,Arizona,1:05 PM
4-Mar,San Francisco,1:05 PM
5-Mar,Cleveland,1:05 PM
6-Mar,Chicago (NL),1:05 PM
7-Mar,Anahiem,1:10 PM
8-Mar,Cleveland,6:05 PM
9-Mar,Kansas City,1:05 PM
10-Mar,Chicago (NL),7:05 PM
11-Mar,Colorado,1:10 PM
12-Mar,Milwaukee,1:05 PM
14-Mar,Colorado,7:05 PM
15-Mar,Kansas City,1:05 PM
16-Mar,Arizona,1:10 PM
17-Mar,Chicago (AL),1:05 PM
18-Mar,San Diego,1:05 PM
18-Mar,Milwaukee,1:05 PM
19-Mar,Oakland,7:05 PM
20-Mar,Oakland,1:05 PM
22-Mar,Anahiem,7:05 PM
23-Mar,Kansas City,1:05 PM
24-Mar,Chicago (AL),12:05 PM
26-Mar,Anahiem,7:10 PM
27-Mar,Anahiem,7:10 PM
29-Mar,San Francisco,4:00 PM
30-Mar,San Francisco,7:10 PM
31-Mar,San Francisco,6:10 PM
1-Apr,San Francisco,5:30 PM
2-Apr,at Arizona,6:40 PM
3-Apr,at Arizona,6:40 PM
4-Apr,at Arizona,12:40 PM
6-Apr,at San Francisco,7:15 PM
7-Apr,at San Francisco,9:00 PM
8-Apr,at San Francisco,1:05 PM
10-Apr,Oakland,7:10 PM
11-Apr,Oakland,7:10 PM
13-Apr,Arizona,7:10 PM
14-Apr,Arizona,6:10 PM
15-Apr,Arizona,1:10 PM
16-Apr,at San Diego,7:10 PM
17-Apr,at San Diego,7:10 PM
18-Apr,at San Diego,7:10 PM
20-Apr,Washington,7:10 PM
21-Apr,Washington,6:10 PM
22-Apr,Washington,5:00 PM
23-Apr,Miami,7:10 PM
24-Apr,Miami,7:10 PM
25-Apr,Miami,4:15 PM
27-Apr,at San Francisco,7:15 PM
28-Apr,at San Francisco,9:00 PM
29-Apr,at San Francisco,1:05 PM
30-Apr,at Arizona,6:40 PM
1-May,at Arizona,6:40 PM
2-May,at Arizona,6:40 PM
3-May,at Arizona,12:40 PM
4-May,at San Diego,9:00 PM
5-May,at San Diego,4:10 PM
6-May,at San Diego,9:00 PM
8-May,Arizona,7:10 PM
9-May,Arizona,7:10 PM
10-May,Cincinnati,7:10 PM
11-May,Cincinnati,7:10 PM
12-May,Cincinnati,6:10 PM
13-May,Cincinnati,1:10 PM
15-May,at Miami,4:10 PM
16-May,at Miami,4:10 PM
17-May,at Miami,9:10 PM
18-May,at Washington,4:05 PM
19-May,at Washington,4:05 PM
20-May,at Washington,10:35 AM
21-May,Colorado,7:10 PM
22-May,Colorado,7:10 PM
23-May,Colorado,7:10 PM
25-May,San Diego,7:10 PM
26-May,San Diego,7:10 PM
27-May,San Diego,1:10 PM
28-May,Philadelphia,5:10 PM
29-May,Philadelphia,7:10 PM
30-May,Philadelphia,7:10 PM
31-May,Philadelphia,9:00 PM
1-Jun,at Colorado,5:40 PM
2-Jun,at Colorado,4:15 PM
3-Jun,at Colorado,12:10 PM
5-Jun,at Pittsburgh,4:05 PM
6-Jun,at Pittsburgh,4:05 PM
7-Jun,at Pittsburgh,9:35 PM
8-Jun,Atlanta,7:10 PM
9-Jun,Atlanta,6:10 PM
10-Jun,Atlanta,1:10 PM
12-Jun,Texas,7:10 PM
13-Jun,Texas,7:10 PM
15-Jun,San Francisco,7:10 PM
16-Jun,San Francisco,5:15 PM
17-Jun,San Francisco,1:10 PM
18-Jun,at Chicago Cubs,5:05 PM
19-Jun,at Chicago Cubs,5:05 PM
20-Jun,at Chicago Cubs,11:20 AM
22-Jun,at NY Mets,4:10 PM
23-Jun,at NY Mets,4:15 PM
24-Jun,at NY Mets,10:10 AM
25-Jun,Chicago Cubs,7:10 PM
26-Jun,Chicago Cubs,7:10 PM
27-Jun,Chicago Cubs,7:10 PM
28-Jun,Chicago Cubs,12:10 PM
29-Jun,Colorado,7:10 PM
30-Jun,Colorado,4:15 PM
1-Jul,Colorado,1:10 PM
2-Jul,Pittsburgh,7:10 PM
3-Jul,Pittsburgh,7:10 PM
4-Jul,Pittsburgh,5:10 PM
6-Jul,at LA Angels,7:07 PM
7-Jul,at LA Angels,4:15 PM
8-Jul,at LA Angels,9:00 PM
9-Jul,at San Diego,7:10 PM
10-Jul,at San Diego,7:10 PM
11-Jul,at San Diego,7:10 PM
12-Jul,at San Diego,7:10 PM
13-Jul,LA Angels,7:10 PM
14-Jul,LA Angels,4:15 PM
15-Jul,LA Angels,1:10 PM
20-Jul,at Milwaukee,5:10 PM
21-Jul,at Milwaukee,4:10 PM
22-Jul,at Milwaukee,11:10 AM
23-Jul,at Philadelphia,4:05 PM
24-Jul,at Philadelphia,4:05 PM
25-Jul,at Philadelphia,9:35 PM
26-Jul,at Atlanta,4:35 PM
27-Jul,at Atlanta,4:35 PM
28-Jul,at Atlanta,4:10 PM
29-Jul,at Atlanta,10:35 AM
30-Jul,Milwaukee,7:10 PM
31-Jul,Milwaukee,7:10 PM
1-Aug,Milwaukee,7:10 PM
2-Aug,Milwaukee,6:00 PM
3-Aug,Houston,7:10 PM
4-Aug,Houston,6:10 PM
5-Aug,Houston,1:10 PM
7-Aug,at Oakland,7:05 PM
8-Aug,at Oakland,7:05 PM
9-Aug,at Colorado,5:40 PM
10-Aug,at Colorado,5:40 PM
11-Aug,at Colorado,5:10 PM
12-Aug,at Colorado,12:10 PM
13-Aug,San Francisco,7:10 PM
14-Aug,San Francisco,7:10 PM
15-Aug,San Francisco,7:10 PM
17-Aug,at Seattle,7:10 PM
18-Aug,at Seattle,1:10 PM
19-Aug,at Seattle,1:10 PM
20-Aug,St. Louis,7:10 PM
21-Aug,St. Louis,7:10 PM
22-Aug,St. Louis,7:10 PM
24-Aug,San Diego,7:10 PM
25-Aug,San Diego,6:10 PM
26-Aug,San Diego,1:10 PM
28-Aug,at Texas,5:05 PM
29-Aug,at Texas,5:05 PM
30-Aug,Arizona,7:10 PM
31-Aug,Arizona,7:10 PM
1-Sep,Arizona,6:10 PM
2-Sep,Arizona,1:10 PM
3-Sep,NY Mets,5:10 PM
4-Sep,NY Mets,7:10 PM
5-Sep,NY Mets,4:15 PM
7-Sep,at Colorado,5:40 PM
8-Sep,at Colorado,5:10 PM
9-Sep,at Colorado,12:10 PM
10-Sep,at Cincinnati,3:40 PM
11-Sep,at Cincinnati,3:40 PM
12-Sep,at Cincinnati,9:35 PM
13-Sep,at St. Louis,4:15 PM
14-Sep,at St. Louis,5:15 PM
15-Sep,at St. Louis,10:05 AM
16-Sep,at St. Louis,11:15 AM
17-Sep,Colorado,7:10 PM
18-Sep,Colorado,7:10 PM
19-Sep,Colorado,7:10 PM
21-Sep,San Diego,7:10 PM
22-Sep,San Diego,6:10 PM
23-Sep,San Diego,1:10 PM
24-Sep,at Arizona,6:40 PM
25-Sep,at Arizona,6:40 PM
26-Sep,at Arizona,6:40 PM
28-Sep,at San Francisco,7:15 PM
29-Sep,at San Francisco,9:00 PM
30-Sep,at San Francisco,12:05 PM